Date,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (Âµg),Folate (Âµg),Vitamin A (Âµg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (Âµg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (Âµg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2026-04-19,2119.76,0.00,220.68,22.40,59.33,2918.18,1.03,1.58,7.84,3.17,1.08,3.03,259.75,672.57,47.23,381.83,5.34,34.38,1885.26,0.31,9.14,157.58,0.83,1004.63,2518.66,26.51,3208.41,4.75,148.30,168.95,20.63,0.31,0.32,15.45,36.96,14.38,94.11,119.80,7.27,2.02,26.96,0.40,0.41,0.41,0.00,0.00,1.55,0.01,1.53,0.17,0.43,0.84,1.60,1.33,0.44,0.86,151.51,0.68,0.15,0.78,1.16,true
2026-04-20,2349.85,0.00,95.00,429.16,158.55,2860.42,1.43,1.94,28.94,7.24,3.29,2.74,721.48,1124.27,149.26,329.20,10.67,526.83,1300.63,0.73,12.39,282.84,2.58,1362.26,2387.58,104.71,4812.42,7.36,213.48,236.43,22.75,4.59,1.13,54.94,36.49,20.31,91.52,574.81,11.13,6.28,17.75,0.08,0.32,0.25,0.05,0.01,2.71,0.17,2.33,0.94,2.23,3.36,5.60,5.76,1.77,3.01,155.29,3.03,0.86,2.48,3.70,true
2026-04-21,2668.08,0.00,95.00,28.46,299.51,2755.76,1.95,1.74,51.73,9.92,4.99,2.05,888.86,503.63,261.50,324.40,11.59,133.97,920.42,0.88,18.53,294.39,2.82,1722.09,4398.38,131.01,2783.99,8.11,282.74,300.98,17.92,5.31,1.49,109.88,57.78,44.57,94.07,323.22,9.04,3.38,20.84,0.16,0.32,0.27,0.02,0.01,2.66,0.05,2.21,1.22,3.74,5.05,8.61,9.36,2.66,4.43,157.66,4.61,1.33,3.72,5.54,true
2026-04-22,3397.89,112.73,10.35,47.51,108.53,3584.33,1.92,1.73,27.17,5.90,3.35,2.28,361.33,481.02,123.72,459.70,8.45,50.58,1284.99,0.58,13.12,234.34,1.09,1450.03,2987.29,73.18,2257.33,5.98,302.54,319.36,16.66,3.13,3.18,0.56,51.91,40.00,84.39,192.91,7.99,1.67,18.87,0.03,0.12,0.05,0.01,0.01,1.24,0.03,0.75,1.22,2.83,4.85,8.64,8.64,2.26,3.80,149.96,4.52,1.50,3.32,5.06,true
2026-04-23,2229.62,0.00,6.90,64.32,285.72,2785.80,1.63,1.41,28.39,6.39,3.10,1.83,626.29,453.57,118.49,244.57,9.56,117.73,863.65,0.73,10.18,232.45,2.12,1336.11,1957.92,97.47,4808.78,6.61,174.45,187.07,12.44,5.22,2.88,85.10,14.22,4.91,89.53,363.65,12.51,12.52,24.57,2.81,1.38,1.34,0.02,0.01,10.79,0.06,10.51,1.30,2.85,4.73,8.25,7.95,2.28,3.97,163.96,4.28,1.40,3.29,5.02,true
2026-04-24,2126.37,97.54,132.58,33.68,80.02,3300.25,1.83,1.73,29.09,6.15,3.17,2.60,288.38,839.96,142.82,325.25,6.98,36.17,1198.28,0.57,7.03,271.06,0.96,1424.65,2490.83,70.18,1225.26,5.45,143.74,156.74,12.84,2.40,2.38,2.06,50.28,13.48,40.48,212.89,8.24,1.92,11.81,0.21,0.17,0.07,0.01,0.01,1.48,0.03,0.88,1.04,2.72,4.41,7.81,7.98,2.11,3.55,110.14,4.08,1.30,3.14,4.67,true
2026-04-25,1666.36,0.00,0.00,193.38,234.00,2626.70,1.88,2.13,46.41,8.06,3.16,2.76,318.08,525.14,104.06,209.90,7.38,105.95,761.25,0.55,13.41,221.95,2.00,1343.00,2227.49,166.43,2229.52,7.00,139.47,153.17,13.34,6.90,3.60,59.68,24.58,9.37,56.83,838.20,18.17,9.04,17.06,0.41,0.88,0.63,0.09,0.03,7.55,0.09,5.20,1.56,3.52,5.50,8.92,9.16,2.89,4.82,133.79,4.82,1.37,3.96,5.83,true
2026-04-26,1259.78,0.00,125.68,415.78,8.80,1545.55,0.35,1.05,2.64,2.54,0.61,2.03,205.21,1128.44,55.81,152.59,3.41,445.44,551.61,0.27,5.06,146.77,1.01,446.05,1399.60,36.21,4208.61,2.77,120.30,135.87,15.51,1.93,0.38,1.69,45.08,12.48,40.02,403.50,5.39,1.90,7.59,0.19,0.22,0.14,0.04,0.01,1.63,0.16,1.37,0.37,0.55,1.16,1.93,1.65,0.60,1.11,89.96,1.02,0.27,0.93,1.33,true
2026-04-27,2535.78,0.00,125.68,415.78,8.80,2578.60,0.25,0.99,1.98,2.16,0.47,2.03,177.05,768.44,9.01,232.59,3.06,445.44,729.61,0.19,10.23,125.65,0.94,410.85,1607.44,36.03,5144.61,2.65,278.50,295.87,11.31,1.93,0.38,0.00,110.48,76.48,101.97,416.00,5.28,1.78,33.92,0.19,0.18,0.14,0.04,0.01,1.54,0.16,1.37,0.37,0.53,1.13,1.88,1.59,0.60,1.08,113.93,0.99,0.27,0.90,1.29,true
2026-04-28,2725.72,0.00,125.68,426.71,144.76,2879.41,0.99,1.55,34.61,6.69,2.80,2.72,497.88,1161.74,55.36,159.34,6.38,455.87,620.57,0.63,11.56,252.39,1.97,1131.27,2448.83,110.16,6464.27,6.17,275.29,289.10,13.61,4.26,0.55,56.88,88.02,12.48,95.55,629.80,11.15,4.35,21.90,0.35,0.41,0.27,0.07,0.02,3.60,0.25,3.27,1.28,3.05,4.88,7.81,8.11,2.56,4.15,180.01,4.22,1.18,3.51,5.13,true
2026-04-29,2146.83,70.11,125.68,12.32,135.96,2346.98,0.73,0.67,21.53,4.04,1.79,4.08,305.93,658.51,28.90,467.47,2.99,10.72,1811.15,0.39,10.33,225.61,1.07,1701.25,2477.91,94.07,1962.11,15.05,193.02,199.88,6.73,2.38,0.15,54.74,80.44,46.41,48.23,201.43,5.49,1.75,23.14,0.27,0.14,0.11,0.01,0.01,1.37,0.03,1.33,0.57,1.75,2.45,4.23,4.44,1.28,2.15,119.29,2.21,0.63,1.86,2.70,true
2026-04-30,1784.08,0.00,125.68,22.70,271.92,1816.60,1.35,1.08,41.69,7.42,3.46,3.04,605.70,663.00,45.90,269.36,5.86,20.85,1106.25,0.72,13.25,264.38,2.03,1678.68,2766.73,124.23,2924.84,11.26,196.54,205.16,8.36,4.66,0.30,109.36,46.86,12.48,47.40,302.36,9.80,3.31,18.17,0.34,0.26,0.21,0.01,0.01,2.59,0.05,2.51,1.10,3.32,4.59,7.87,8.37,2.41,4.00,133.00,4.15,1.19,3.44,5.02,true
2026-05-01,2554.68,78.54,125.68,1257.11,41.34,2484.65,0.92,2.70,11.89,6.37,2.05,4.45,638.74,2207.75,110.21,329.42,9.81,1345.46,1206.89,1.02,17.73,396.05,4.90,1058.74,3694.32,115.53,7323.30,7.99,232.73,245.08,11.87,8.42,2.45,2.20,177.51,94.67,64.69,1220.34,14.54,5.93,27.05,0.24,0.71,0.55,0.13,0.02,5.03,0.50,4.50,1.26,1.83,3.74,5.84,5.28,1.98,3.40,114.60,3.22,0.86,2.75,4.05,true
2026-05-02,2590.99,0.00,126.42,30.10,59.83,2415.71,0.60,0.73,5.26,1.53,0.85,2.03,200.00,330.64,46.00,330.47,11.91,30.02,1091.61,0.30,4.56,110.35,0.73,626.23,828.16,14.18,3984.35,3.22,190.51,206.73,16.20,0.00,0.00,0.17,28.23,27.23,111.63,20.00,1.78,0.68,14.26,0.00,0.00,0.01,0.00,0.00,0.68,0.00,1.04,0.02,0.04,0.05,0.10,0.04,0.01,0.07,162.46,0.04,0.01,0.03,0.06,true
2026-05-03,2433.67,0.00,95.00,0.00,,1779.79,0.65,0.68,5.13,1.69,0.92,1.20,214.08,482.80,71.32,240.00,3.98,30.00,1216.70,0.29,19.79,100.56,0.63,567.60,3525.31,14.09,4527.67,2.86,187.63,207.70,20.07,,,0.84,23.17,2.67,102.51,460.00,0.05,0.06,46.97,0.00,0.02,0.01,,,0.04,,0.48,0.00,0.01,0.01,0.02,0.03,0.00,0.02,166.25,0.01,0.00,0.01,0.02,true
2026-05-04,3367.42,0.00,220.68,84.53,97.28,1270.89,1.77,3.34,87.24,15.50,8.83,5.24,293.31,584.47,49.55,453.49,9.77,36.82,1613.00,0.70,23.81,404.37,1.49,2834.94,4958.13,239.68,4567.58,11.67,272.58,293.64,21.03,1.25,0.51,17.00,49.90,26.57,115.46,1089.93,18.39,8.18,49.33,0.43,0.74,0.57,0.08,0.03,6.64,0.14,6.89,2.51,8.11,11.19,18.97,21.22,5.96,9.46,286.77,10.13,2.80,8.37,12.09,true
2026-05-05,2173.57,0.00,224.74,129.89,597.95,3035.00,1.65,3.08,18.01,6.42,1.65,5.36,332.51,1051.13,102.07,520.91,10.12,96.27,1714.52,1.47,15.12,297.42,2.97,1765.88,3170.99,76.22,2906.70,16.72,197.19,211.38,13.91,7.50,2.49,44.01,123.41,54.85,86.89,306.59,23.64,13.29,35.07,1.76,1.81,1.77,0.00,0.01,10.75,0.13,10.56,0.98,1.81,3.94,6.73,5.33,1.94,3.17,148.28,3.67,1.36,2.72,4.33,true
2026-05-06,2228.64,0.23,223.71,41.87,385.54,2746.72,2.16,1.72,34.18,7.16,3.07,2.78,722.70,840.40,131.20,454.97,10.82,85.68,1761.58,0.80,12.95,267.06,3.18,1523.67,2077.12,106.20,4115.86,8.32,217.61,226.57,8.76,3.96,1.45,141.35,43.95,18.13,70.10,274.59,16.15,5.87,30.47,0.52,0.99,0.95,0.01,0.01,4.55,0.04,4.32,1.01,2.30,3.49,6.22,5.82,1.77,3.20,170.25,3.19,1.00,2.57,3.92,false
2026-05-07,4281.82,100.80,125.68,553.39,97.14,2371.05,0.56,1.36,4.18,2.65,0.57,2.54,294.31,1048.85,12.04,313.08,5.79,583.58,828.49,0.29,7.52,165.49,1.43,583.78,2493.74,57.19,9017.45,4.12,360.97,375.88,14.85,2.96,0.96,22.32,34.21,14.91,148.21,724.28,12.04,4.42,32.58,3.20,0.69,0.63,0.05,0.01,3.63,0.20,3.41,0.69,0.85,1.87,3.20,2.61,0.92,1.71,189.61,1.70,0.53,1.35,2.06,false
2026-05-08,2132.96,0.00,95.00,12.80,106.60,2144.01,0.86,0.90,6.38,2.64,1.16,1.37,294.67,389.05,54.58,242.49,6.21,40.83,1118.65,0.55,11.75,141.65,1.63,778.77,1180.19,28.40,4210.32,4.72,206.64,227.39,20.61,4.23,1.38,35.71,28.27,0.00,92.07,224.30,5.06,1.43,27.68,0.20,0.20,0.20,0.00,0.00,0.98,0.00,0.98,0.14,0.33,0.62,1.07,0.89,0.27,0.62,99.14,0.53,0.15,0.46,0.77,true
2026-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
