Day,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Oxalate (mg),Phytate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (Âµg),Folate (Âµg),Vitamin A (Âµg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (Âµg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (Âµg),Sodium (mg),Zinc (mg),Net Carbs (g),Carbs (g),Fiber (g),Insoluble Fiber (g),Soluble Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),ALA (g),DHA (g),EPA (g),Omega-6 (g),AA (g),LA (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-04-08,"Lunch","Chick-fil-A, Waffle Potato Fries","1.00 medium - order",357.44,0.00,0.00,64.92,105.78,53.35,0.18,0.15,3.39,1.31,0.76,0.00,12.90,1.51,30.96,0.00,3.26,12.94,54.52,0.43,4.26,77.40,0.72,198.66,1455.13,0.77,279.80,2.09,39.99,46.18,6.19,4.64,1.55,33.64,2.53,0.00,18.26,0.00,12.18,3.01,2.14,0.15,0.49,0.49,0.00,0.00,2.35,0.00,2.35,0.05,0.09,0.17,0.25,0.25,0.06,0.18,4.13,0.15,0.06,0.15,0.23,"Fast Foods"
2026-04-08,"Lunch","Halos, California Mandarins","1.00 Mandarin",47.00,,,,,74.95,0.05,0.03,0.33,0.19,0.07,,14.08,180.00,23.40,,0.18,,25.00,0.04,0.13,10.56,0.03,17.60,146.08,0.09,2.00,0.06,10.40,12.00,1.60,,,0.84,9.30,,0.27,0.00,0.05,0.06,0.03,,0.02,,,,0.04,,,0.00,0.01,0.01,0.02,0.03,0.00,0.02,0.71,0.01,0.00,0.01,0.02,"Fruits and Fruit Juices"
2026-04-08,"Dinner","Chicken Fried Rice","1.00 Fried Rice Meal",653.09,0.00,0.00,14.23,149.75,308.01,0.70,0.59,25.89,4.59,2.28,0.49,346.79,158.50,94.25,2.75,4.10,52.18,78.87,0.32,4.96,109.32,1.11,640.37,1223.06,64.29,588.89,2.83,63.75,68.37,4.46,2.66,0.75,54.94,5.09,0.00,14.59,176.68,5.36,1.88,4.35,0.17,0.17,0.15,0.01,0.01,1.44,0.03,1.21,0.67,2.08,2.81,4.78,5.23,1.48,2.45,59.45,2.56,0.74,2.06,3.07,""
2026-04-08,"Dinner","Costco Cookie","0.50 43",105.00,,,,,,,,,,,,,,,,,,,,,,,,,,75.00,,15.00,15.00,,,,,6.50,,5.00,,,,2.50,,,,,,,,,,,,,,,,1.00,,,,,""
2026-04-08,"Dinner","Swad, Dry Kachori","2.00 piece",220.00,,,,,,,,,,,,,0.00,0.00,,,,80.00,,1.44,,,,,,420.00,,22.00,26.00,4.00,,,,8.00,,12.00,0.00,,,6.00,0.00,,,,,,,,,,,,,,,4.00,,,,,"Snacks"
2026-04-09,"Uncategorized","Premier Protein, Protein Shake, CafÃ© Latte, 5g Carbs","1.00 x 11.0 fl oz",160.00,,95.00,,,285.30,0.60,0.65,4.80,1.50,0.85,1.20,200.00,230.00,46.00,240.00,3.80,30.00,650.00,0.25,1.80,90.00,0.60,550.00,260.00,14.00,220.00,2.80,3.00,5.00,2.00,,,,1.00,0.00,3.00,20.00,,,1.00,0.00,,,,,,,,,,,,,,,30.00,,,,,"Beverages"
2026-04-09,"Uncategorized","Halos, California Mandarins","1.00 Mandarin",47.00,,,,,74.95,0.05,0.03,0.33,0.19,0.07,,14.08,180.00,23.40,,0.18,,25.00,0.04,0.13,10.56,0.03,17.60,146.08,0.09,2.00,0.06,10.40,12.00,1.60,,,0.84,9.30,,0.27,0.00,0.05,0.06,0.03,,0.02,,,,0.04,,,0.00,0.01,0.01,0.02,0.03,0.00,0.02,0.71,0.01,0.00,0.01,0.02,"Fruits and Fruit Juices"
2026-04-09,"Uncategorized","Coffee","1.00 full recipe",170.14,0.00,141.39,1.07,0.00,217.55,0.14,0.34,1.54,0.96,0.15,1.34,4.88,203.13,0.49,110.29,0.07,47.42,313.87,0.01,0.20,44.00,0.08,264.96,547.20,5.01,96.91,1.07,23.67,23.68,0.00,0.00,0.00,0.00,20.25,8.32,4.66,19.52,0.98,0.15,2.72,0.17,0.02,0.02,0.00,0.00,0.13,0.01,0.11,0.06,0.25,0.43,0.84,0.72,0.22,0.41,8.75,0.40,0.10,0.41,0.53,""
2026-04-09,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-09,"Uncategorized","Chicken Fried Rice","1.00 Fried Rice Meal",653.09,0.00,0.00,14.23,149.75,308.01,0.70,0.59,25.89,4.59,2.28,0.49,346.79,158.50,94.25,2.75,4.10,52.18,78.87,0.32,4.96,109.32,1.11,640.37,1223.06,64.29,588.89,2.83,63.75,68.37,4.46,2.66,0.75,54.94,5.09,0.00,14.59,176.68,5.36,1.88,4.35,0.17,0.17,0.15,0.01,0.01,1.44,0.03,1.21,0.67,2.08,2.81,4.78,5.23,1.48,2.45,59.45,2.56,0.74,2.06,3.07,""
2026-04-09,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-09,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-09,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-09,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-09,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-09,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-09,"Uncategorized","Domino's Pizza, Hand Tossed, Buffalo Chicken, Large","2.20 slice",704.00,,,,,,,,,,,,,,,,,,,,,,,,,,1782.00,,72.60,75.90,3.30,,,,4.40,,27.50,88.00,,,14.30,1.65,,,,,,,,,,,,,,,37.40,,,,,"Meals, Entrees, and Sidedishes"
2026-04-09,"Uncategorized","Papa John's, BBQ Chicken Bacon Pizza, Original Crust","100.00 g",238.02,0.00,0.00,13.82,89.79,44.75,0.37,0.23,3.61,0.38,0.12,0.30,76.47,33.73,0.26,3.08,0.58,5.81,109.26,0.08,1.97,17.66,0.26,145.35,146.10,13.89,698.00,0.99,29.40,30.62,1.21,0.62,0.59,22.78,5.10,3.97,7.89,18.66,2.15,2.29,2.63,0.13,0.23,0.22,0.00,0.00,2.00,0.01,1.99,0.14,0.28,0.47,0.79,0.54,0.24,0.47,10.42,0.40,0.16,0.39,0.52,"Fast Foods"
2026-04-09,"Uncategorized","Outback Steakhouse, Premium Side, Loaded Cheese Fries","0.40 Serving",404.00,,,,,,,,,,,,,,,,,,,,,,,,,,744.00,,24.80,27.20,2.40,,,,0.80,,28.80,24.00,,,8.00,0.40,,,,,,,,,,,,,,,8.00,,,,,"Meals, Entrees, and Sidedishes"
2026-04-10,"Uncategorized","Chicken Fried Rice","1.00 Fried Rice Meal",653.09,0.00,0.00,14.23,149.75,308.01,0.70,0.59,25.89,4.59,2.28,0.49,346.79,158.50,94.25,2.75,4.10,52.18,78.87,0.32,4.96,109.32,1.11,640.37,1223.06,64.29,588.89,2.83,63.75,68.37,4.46,2.66,0.75,54.94,5.09,0.00,14.59,176.68,5.36,1.88,4.35,0.17,0.17,0.15,0.01,0.01,1.44,0.03,1.21,0.67,2.08,2.81,4.78,5.23,1.48,2.45,59.45,2.56,0.74,2.06,3.07,""
2026-04-10,"Uncategorized","Premier Protein, Protein Shake, CafÃ© Latte, 5g Carbs","1.00 x 11.0 fl oz",160.00,,95.00,,,285.30,0.60,0.65,4.80,1.50,0.85,1.20,200.00,230.00,46.00,240.00,3.80,30.00,650.00,0.25,1.80,90.00,0.60,550.00,260.00,14.00,220.00,2.80,3.00,5.00,2.00,,,,1.00,0.00,3.00,20.00,,,1.00,0.00,,,,,,,,,,,,,,,30.00,,,,,"Beverages"
2026-04-10,"Uncategorized","Halos, California Mandarins","1.00 Mandarin",47.00,,,,,74.95,0.05,0.03,0.33,0.19,0.07,,14.08,180.00,23.40,,0.18,,25.00,0.04,0.13,10.56,0.03,17.60,146.08,0.09,2.00,0.06,10.40,12.00,1.60,,,0.84,9.30,,0.27,0.00,0.05,0.06,0.03,,0.02,,,,0.04,,,0.00,0.01,0.01,0.02,0.03,0.00,0.02,0.71,0.01,0.00,0.01,0.02,"Fruits and Fruit Juices"
2026-04-10,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-10,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-10,"Uncategorized","Cheez-It, Buffalo Wing","2.00 oz",301.25,0.00,0.00,20.10,133.13,5.82,0.45,0.22,3.16,0.24,0.04,0.03,97.59,8.99,0.36,0.27,1.98,20.05,37.80,0.07,2.08,13.22,0.35,61.19,75.60,12.17,434.34,0.42,34.04,35.54,1.50,0.73,0.77,33.77,0.19,0.00,15.07,1.21,4.41,6.70,2.95,0.08,0.83,0.83,0.00,0.00,5.85,0.00,5.85,0.11,0.12,0.20,0.38,0.14,0.10,0.27,5.50,0.16,0.07,0.17,0.23,"Baked Products"
2026-04-10,"Uncategorized","Champagne, White","10.00 fl oz",241.08,30.28,0.00,0.59,0.00,255.37,0.01,0.04,0.32,0.13,0.15,0.00,2.94,0.00,0.00,0.00,0.00,1.18,26.46,0.01,0.79,29.40,0.34,52.92,208.74,0.29,14.70,0.35,7.48,7.64,0.00,0.00,0.00,0.00,2.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,"Beverages"
2026-04-10,"Uncategorized","Domino's, Cheese Pizza, Hand Tossed","0.45 medium - 12"" diameter - 8 slices",719.79,0.00,0.00,47.13,285.08,146.81,1.06,0.82,7.76,1.14,0.24,1.55,249.35,226.63,5.90,13.83,2.22,15.03,706.30,0.26,6.17,64.83,0.89,648.59,519.54,44.13,1458.07,4.27,82.73,86.99,4.24,2.39,1.85,72.09,5.81,1.84,23.88,58.86,5.91,3.51,11.39,0.68,0.36,0.34,0.00,0.01,2.97,0.00,2.97,0.41,0.83,1.68,2.90,1.53,0.77,1.69,37.25,1.47,0.72,1.45,1.93,"Fast Foods"
2026-04-10,"Uncategorized","Milk, 2% Fat, Reduced Fat","1.50 cup",183.00,0.00,0.00,1.10,0.00,326.11,0.22,0.50,0.41,1.43,0.22,2.01,7.32,304.70,0.73,165.43,0.11,71.00,461.16,0.00,0.00,43.92,0.00,376.98,581.94,6.59,142.74,1.57,17.92,17.93,0.00,0.00,0.00,0.00,17.90,0.00,6.95,29.28,1.46,0.21,4.06,0.26,0.03,0.03,0.00,0.00,0.18,0.01,0.16,0.07,0.36,0.63,1.23,1.07,0.33,0.60,12.30,0.59,0.15,0.60,0.78,"Dairy and Egg Products"
2026-04-10,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-10,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-10,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-11,"Uncategorized","Premier Protein, Protein Shake, CafÃ© Latte, 5g Carbs","1.00 x 11.0 fl oz",160.00,,95.00,,,285.30,0.60,0.65,4.80,1.50,0.85,1.20,200.00,230.00,46.00,240.00,3.80,30.00,650.00,0.25,1.80,90.00,0.60,550.00,260.00,14.00,220.00,2.80,3.00,5.00,2.00,,,,1.00,0.00,3.00,20.00,,,1.00,0.00,,,,,,,,,,,,,,,30.00,,,,,"Beverages"
2026-04-11,"Uncategorized","Halos, California Mandarins","1.00 Mandarin",47.00,,,,,74.95,0.05,0.03,0.33,0.19,0.07,,14.08,180.00,23.40,,0.18,,25.00,0.04,0.13,10.56,0.03,17.60,146.08,0.09,2.00,0.06,10.40,12.00,1.60,,,0.84,9.30,,0.27,0.00,0.05,0.06,0.03,,0.02,,,,0.04,,,0.00,0.01,0.01,0.02,0.03,0.00,0.02,0.71,0.01,0.00,0.01,0.02,"Fruits and Fruit Juices"
2026-04-11,"Uncategorized","Domino's, Cheese Pizza, Hand Tossed","0.25 medium - 12"" diameter - 8 slices",399.88,0.00,0.00,26.18,158.38,81.56,0.59,0.46,4.31,0.63,0.13,0.86,138.53,125.91,3.28,7.68,1.24,8.35,392.39,0.14,3.43,36.01,0.49,360.33,288.63,24.52,810.04,2.37,45.96,48.33,2.36,1.33,1.03,40.05,3.23,1.02,13.27,32.70,3.28,1.95,6.33,0.38,0.20,0.19,0.00,0.00,1.65,0.00,1.65,0.23,0.46,0.94,1.61,0.85,0.43,0.94,20.69,0.82,0.40,0.81,1.07,"Fast Foods"
2026-04-11,"Uncategorized","Aviva by Kaleem","1.00 Plate",770.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.00,62.00,,,,,,,33.00,,,,,,,,,,,,,,,,,,,,45.00,,,,,""
2026-04-11,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-11,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-11,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-11,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
2026-04-11,"Uncategorized","Newgate, Lentil Soup, Vegan","8.00 oz",113.40,,,,,,,,,,,,,,,,,,,,,,,,,,453.59,,18.60,21.77,3.18,,,,1.81,,0.45,,,,0.45,,,,,,,,,,,,,,,,7.03,,,,,"Soups, Sauces, and Gravies"
2026-04-11,"Uncategorized","Garbanzo Beans, Cooked from Dried","0.70 cup, whole pieces",188.27,0.00,0.00,10.33,117.85,69.12,0.13,0.07,0.60,0.33,0.16,0.00,197.45,1.53,1.49,0.00,0.40,4.59,56.25,0.40,3.32,55.10,1.18,192.86,334.06,4.25,8.04,1.76,22.61,31.48,8.72,5.66,3.07,18.68,5.51,0.00,2.97,0.00,0.67,1.33,0.31,0.00,0.05,0.05,0.00,0.00,1.02,0.00,1.02,0.14,0.28,0.44,0.72,0.68,0.13,0.55,10.17,0.38,0.10,0.25,0.43,"Legumes and Legume Products"
2026-04-11,"Uncategorized","Water","8.00 fl oz",0.00,0.00,0.00,0.00,,236.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Beverages"
